conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915,Hochschullehrkraft für Kommunikationswissenschaften,released,Dozent/in für Kommunikationswissenschaften | Wissenschaftlicher Mitarbeiter für Kommunikationswissenschaften | Universitätslehrerin für interkulturelle Kommunikation | ProfessorIn für Medien und Kommunikation | Wissenschaftliche Mitarbeiterin für Kommunikationswissenschaften | Hochschullehrerin für transkulturelle Kommunikation | Universitätslehrer für interkulturelle Kommunikation | Hochschullehrer für transkulturelle Kommunikation | Universitätslehrkraft für Kommunikationswissenschaften | Hochschullehrer für Medien und Kommunikation | Hochschullehrerin für Medien und Kommunikation,"Hochschullehrkräfte für Kommunikationswissenschaften sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, den Kommunikationswissenschaften, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen kommunikationswissenschaftlichem Fachgebiet Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/4b759f0e-8fec-4cf5-80d4-d112a9fd4e51,Ozeanograf/Ozeanografin,released,Ozeanografin | Ozeanograf,"Ozeanografen/Ozeanografinnen erforschen Sachverhalte in Verbindung mit Meeren und Ozeanen. Ihre Tätigkeit ist in verschiedene Forschungsgebiete untergliedert: physische Ozeanografie, die sich mit Wellen und Gezeiten befasst, chemische Ozeanografie, die sich mit der chemischen Zusammensetzung von Meerwasser befasst, und geografische Ozeanografie, die sich mit dem Meeresboden und dem Bodenrelief befasst.
   ",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,Geologe/Geologin
Occupation,http://data.europa.eu/esco/occupation/4e8a5d3e-66de-4661-9927-ef3123cc79e9,Hochschullehrkraft für Architektur,released,ProfessorIn für Architektur | Dozent/in für Architektur | Hochschullehrerin für Architektur | Hochschullehrer für Architektur | Universitätslehrerin für Architektur | Universitätslehrer für Architektur,"Hochschullehrkräfte für Architektur sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Architektur, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Architektur-Fachgebiet Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/4f4d33a1-0b41-4dd9-8a42-aeba5a3974ab,Ingenieur Sensortechnik/Ingenieurin Sensortechnik,released,Ingenieur Sensortechnik | Ingenieurin Sensortechnik,"Ingenieure Sensortechnik/Ingenieurinnen Sensortechnik entwerfen und entwickeln Sensoren, Sensorsysteme und Produkte, die mit Sensoren ausgerüstet sind. Sie planen und überwachen die Herstellung dieser Produkte.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,Ingenieur Elektronik/Ingenieurin Elektronik
Occupation,http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3,Politologe/Politologin,released,Politologe | Staatswissenschaftler | Politikwissenschaftlerin | Politikwissenschaftler | Staatswissenschaftlerin | Friedensforscher | Verwaltungswissenschaftler | Friedensforscherin | Politologin | Verwaltungswissenschaftlerin,"Politologen erforschen politisches Verhalten, politische Aktivität und politische Systeme einschließlich aller darunter fallenden Elemente. Ihr Forschungsgebiet reicht von der Entstehung und Entwicklung verschiedener politischer Systeme bis hin zu aktuellen Themen wie Entscheidungsprozesse, politisches Verhalten, politische Trends, Gesellschaft und Machtperspektiven. Sie beraten Regierungen und institutionelle Organisationen in Führungsfragen.",http://data.europa.eu/esco/isco/C2633,"Philosophen, Historiker und Politologen"
Occupation,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,Psychologe/Psychologin,released,Arbeitspsychologe | Klinische Psychologin | Sozialpsychologin | Sozialpsychologe | Schulpsychologe | Verkehrspsychologin | Verkehrspsychologe | Sportpsychologe | Kommunikationspsychologin | Suchtpsychologe | Psychologe | Psychologin | Kommunikationspsychologe | Neuropsychologin | Gesundheits- und Rehabilitationspsychologe | Neuropsychologe | Pädagogische Psychologin | Forensischer Psychologe | Pädagogischer Psychologe | Klinischer Psychologe | Wirtschaftspsychologe | Wirtschaftspsychologin | Forensische Psychologin | Sportpsychologin | Schulpsychologin | Suchtpsychologin | Arbeitspsychologin | Gesundheits- und Rehabilitationspsychologin,"Psychologen untersuchen das Verhalten und die mentalen Prozesse beim Menschen. Sie bieten Dienstleistungen für Kunden an, die unter psychischen Problemen und schwierigen Lebenssituationen leiden, z. B. Trauer um einen Verstorbenen, Beziehungsschwierigkeiten, häusliche Gewalt und sexueller Missbrauch. Sie bieten auch Beratung für psychische Erkrankungen wie Essstörungen, posttraumatische Belastungsstörungen und Psychosen an, um den Patienten zu helfen, sich zu erholen und ein gesundes Verhalten zu erlangen.",http://data.europa.eu/esco/isco/C2634,Psychologen
Occupation,http://data.europa.eu/esco/occupation/55167849-82cf-484e-b818-fa702a4e69e9,Hydrologe/Hydrologin,released,Hydrologin | Hydrologe,"Hydrologe/Hydrologinnen erforschen und untersuchen die Qualität von Wasser, aktuelle Herausforderungen im Zusammenhang mit Wasser und die Verteilung von Wasser in der Erde. Sie untersuchen die Wasserversorgung aus Flüssen, Bächen und Quellen, um die Nutzung des Wassers angemessen und nachhaltig zu gestalten. Gemeinsam mit einem interdisziplinären Fachkräfteteam planen sie, wie Städte und städtische Gebiete auf effizient und ressourcenschonend mit Wasser versorgt werden können.",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,Geologe/Geologin
Occupation,http://data.europa.eu/esco/occupation/557f9ccc-4e46-4bb2-8d20-272cd978b152,Veterinärmedizinischer Wissenschaftler/Veterinärmedizinische Wissenschaftlerin,released,Veterinärmedizinische Wissenschaftlerin | Veterinärmedizinischer Wissenschaftler,"Veterinärmedizinische Wissenschaftler/innen entwickeln und forschen an Tiermodellen, vergleichen die grundlegenden biologischen Merkmale verschiedener Tiere und übertragen Forschungsergebnisse auf andere Arten, einschließlich des Menschen.",http://data.europa.eu/esco/isco/C2250,Tierärzte
Occupation,http://data.europa.eu/esco/occupation/55a785db-0636-41b8-950f-0b65abe5e81b,Hochschullehrkraft für Pharmazie,released,Dozent/in für Pharmakologie | Hochschulassistent/in für Pharmatechnik | UniversitätsprofessorIn für Pharmakologie | Lehrbeauftragter für Pharmazie | Lehrbeauftragte für Pharmazie,"Hochschullehrkräfte für Pharmazie sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Pharmazie, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten, Labortätigkeiten anzuleiten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Pharmazie-Fachgebiet Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/574f3232-1d07-4034-8cac-c57ddbfff192,Analytischer Chemiker/Analytische Chemikerin,released,Analytische Chemikerin | Chemische Analystin | Chemischer Analyst | Analytischer Chemiker,"Analytische Chemiker/innen erforschen und beschreiben die chemische Zusammensetzung von Stoffen. Außerdem ziehen sie Schlussfolgerungen in Bezug auf das Verhalten dieser Stoffe unter unterschiedlichen Bedingungen. Analytische Chemiker/innen spielen eine wichtige Rolle bei der Untersuchung der Beziehungen zwischen Chemie und Umwelt, Lebensmitteln, Kraftstoffen und Medizin. Sie verwenden eine Reihe von Techniken wie Elektrochromatographie, Gas- und Hochleistungsflüssigkeitschromatographie und Spektroskopie.
	",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,Chemiker/Chemikerin
Occupation,http://data.europa.eu/esco/occupation/57a12047-4f1e-40ed-add5-9736923f231b,Astronom/Astronomin,released,Astronom | Astrophysiker | Astronomin | Astrophysikerin,"Astronom/Astronominnen erforschen die Entstehung, die Strukturen, die Eigenschaften und die Entwicklung von Himmelskörpern und interstellaren Medien. Sie verwenden boden- und weltraumgestützte Geräte, um für Forschungszwecke Daten über das Weltall zu sammeln.",http://data.europa.eu/esco/isco/C2111,Physiker und Astronomen
Occupation,http://data.europa.eu/esco/occupation/59a02420-91df-4e46-b37b-22e3fd8c11f0,Hochschullehrkraft für Physik,released,Lehrbeauftragter für Physik | Dozentin für Angewandte Physik | Dozent für Angewandte Physik | UniversitätsprofessorIn für Physik | Lehrbeauftragte für Physik | Hochschulassistent/in für theoretische Physik,"Hochschullehrkräfte für Physik sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Physik, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten, Labortätigkeiten anzuleiten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Physik-Fachgebiet Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/5a282a39-5346-454a-b1ef-c1217c50e156,Bildungsforscher/Bildungsforscherin,released,BildungsforscherIn | Bildungsforscher | Bildungsforscherin,"Bildungsforscher/Bildungsforscherinnen führen Forschung im Bildungsbereich durch. Sie sind bestrebt, das Wissen darüber zu erweitern, wie Bildungsprozesse, Bildungssysteme und einzelne Personen (Lehrkräfte und Lernende) arbeiten. Sie identifizieren Verbesserungsbedarf und entwickeln Pläne für die Umsetzung von Innovationen. Sie beraten Gesetzgeber und Politikschaffende in Bildungsfragen und unterstützen die bildungspolitische Planung.",http://data.europa.eu/esco/isco/C2351,Pädagogik- und Didaktikspezialisten
Occupation,http://data.europa.eu/esco/occupation/5ac65daa-0896-4193-9f0e-8b00746b78a1,Forschungsassistent/Forschungsassistentin,released,Forschungsassistentin | Forschungsassistent,"Forschungsassistenten/Forschungsassistentinnen führen akademische Forschung für die Hochschule oder Bildungseinrichtung durch, an der sie tätig sind. Sie können Professoren/Professorinnen, die für sie zuständig sind, bei der Forschung assistieren oder selbst auf dem Gebiet dieses Professors/dieser Professorin forschen.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/5fdfa822-c1ba-477e-87cc-3d742e59310d,Hochschullehrkraft für Biologie,released,Universitätslehrerin für Biologie | Dozent/in für Biologie | Hochschullehrer für Biologie | Hochschullehrerin für Biologie | Universitätslehrer für Biologie | Universitätslehrkraft für Biologie | ProfessorIn für Biologie,"Hochschullehrkräfte für Biologie sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Biologie, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten, Labortätigkeiten anzuleiten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Biologie-Fachgebiet Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/605e58d6-ad27-4828-b1f5-16707f327fa0,Hochschullehrkraft für Erziehungswissenschaften,released,Universitätsassistent für Erziehungswissenschaften | Hochschuldozent für Bildungswissenschaften | Professorin für Erziehungswissenschaften | Universitätslehrer für Pädagogik | Professor für Erziehungswissenschaften | Universitätslehrerin für Pädagogik | Hochschulassistent für Didaktik | Hochschulassistentin für Didaktik | Hochschuldozentin für Bildungswissenschaften | Universitätsassistentin für Erziehungswissenschaften,"Hochschullehrkräfte für Erziehungswissenschaften sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, den Erziehungswissenschaften, unterrichten, damit sie selbst Lehrkräfte werden können. Sie arbeiten mit ihren Forschungsassistent/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/6140be85-2d45-44b2-b0ba-412aadcead1e,Genetiker/Genetikerin,released,Zellgenetiker | Fachhumangenetikerin | Genetiker | Molekularbiologe | Molekularbiologin | Genetikerin | Fachhumangenetiker | Zellgenetikerin,"Genetiker/Genetikerin erforschen die Genetik. Sie analysieren, wie Gene zusammenwirken, agieren und Eigenschaften und Merkmale vererben. Auf der Grundlage ihrer Forschungsarbeiten kümmern sie sich um Patientinnen/Patienten mit vererbbaren Krankheiten und Erkrankungen, angeborenen Fehlbildungen und genetischen Phänomenen im Allgemeinen.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,Biologe/Biologin
Occupation,http://data.europa.eu/esco/occupation/66527cdc-b7a5-4996-9448-7e327b68d08d,Hochschullehrkraft für Kunstgeschichte,released,Wissenschaftliche Mitarbeiterin für Kunstgeschichte | Hochschullehrerin für Kunstgeschichte | Dozent/in für Kunstwissenschaft | Hochschullehrer für Kunstwissenschaften | Wissenschaftlicher Mitarbeiter für Kunstgeschichte | UniversitätslehrerIn für Kunstwissenschaft | ProfessorIn für Kunstgeschichte,"Hochschullehrkräfte für Kunstgeschichte sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Kunstgeschichte, unterrichten. Sie arbeiten mit ihren Forschungsassistent/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem Gebiet der Kunstgeschichte Forschungsarbeiten durch, veröffentlichen die gewonnenen Erkenntnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft,released,Hochschullehrerin | Hochschulassistentin | Universitätslehrerin | Universitätsprofessor | Hochschulassistent | Universitätslehrkraft | Wissenschaftliche Mitarbeiterin | Dozent | Universitätslehrer | Dozentin | Hochschullehrer | Wissenschaftlicher Mitarbeiter | Universitätsprofessorin,"Hochschullehrkräfte unterrichten Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, das überwiegend akademischer Natur ist. Sie können Berufsbezeichnungen wie Senior-Lehrkraft oder Professor/Professorin haben. Sie arbeiten mit ihren Lehr- und Forschungsassistenten/-assistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten, Labortätigkeiten anzuleiten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Fachgebiet Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/isco/C2310,Universitäts- und Hochschullehrer
Occupation,http://data.europa.eu/esco/occupation/68d973df-bf10-4bf7-9a1b-fbd9f604b9db,Bioinformatiker/Bioinformatikerin,released,Bioinformatikerin | Bioinformatiker,"Bioinformatiker/Bioinformatikerinnen analysieren biologische Prozesse mithilfe von Computerprogrammen. Sie unterhalten oder entwickeln Datenbanken mit biologischen Informationen. Bioinformatiker/Bioinformatikerinnen sammeln und analysieren biologische Daten. Zudem können sie Wissenschaftler/Wissenschaftlerinnen in verschiedenen Bereichen, z. B. Biotechnologie und Pharmazie, unterstützen. Sie betreiben wissenschaftliche Forschung, führen statistische Analysen durch und berichten über ihre Ergebnisse. Bioinformatiker/Bioinformatikerinnen können auch DNA-Proben nehmen, Datenmuster erkunden und Genforschung durchführen.",http://data.europa.eu/esco/isco/C2131,"Biologen, Botaniker, Zoologen und verwandte Berufe"
Occupation,http://data.europa.eu/esco/occupation/68f4fdd9-182c-4c0d-a73d-f767b8a8355e,Biologe im Bereich Aquakultur/Biologin im Bereich Aquakultur,released,Aquakulturbiologin | Biologin im Bereich Aquakultur | Aquakulturbiologe | Biologe im Bereich Aquakultur,"Biologe im Bereich Aquakultur/Biologinnen im Bereich Aquakultur wenden Erkenntnisse aus der Forschung über die Tier- und Pflanzenwelt und ihre Wechselwirkungen untereinander und mit der Umwelt an, um die Aquakulturproduktion zu verbessern, Tiergesundheits- und Umweltprobleme zu vermeiden und erforderlichenfalls Lösungen auszuarbeiten.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,Biologe/Biologin
Occupation,http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442,Kommunikationswissenschaftler/Kommunikationswissenschaftlerin,released,Publizistikwissenschaftlerin | Medienwissenschaftler | Kommunikationswissenschaftler | Medienwissenschaftlerin | Kommunikationswissenschaftlerin | Publizistikwissenschaftler,"Kommunikationswissenschaftler befassen sich mit verschiedenen Aspekten der Planung, der Sammlung, der Schaffung, der Organisation, der Pflege, der Verwendung, der Bewertung und des Austauschs von Informationen durch verbale oder nonverbale Kommunikation. Sie untersuchen die Wechselwirkungen zwischen Gruppen und Einzelpersonen unter Verwendung von Technologien (Robotern).",http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,Anthropologe/Anthropologin
Occupation,http://data.europa.eu/esco/occupation/6d421d34-baa1-44f9-9ea0-231d76e325fd,Religionswissenschaftler/Religionswissenschaftlerin,released,Religionswissenschaftlerin | Theologe | Religionswissenschaftler | Theologin,"Religionswissenschaftler erforschen Begriffe und Vorstellungen im Zusammenhang mit Religionen, Weltanschauungen und Spiritualität. Sie bemühen sich auf rationale Weise um Moral und Ethik, indem sie die heiligen Schriften, die Religion, die Lehre und das göttliche Recht studieren.",http://data.europa.eu/esco/isco/C2636,Geistliche Seelsorger
Occupation,http://data.europa.eu/esco/occupation/6df6c5cb-c1a2-42c8-acd0-1ee5563c36c1,Biochemiker/Biochemikerin,released,Biochemiker | Biotechnologie-Ingenieurin | Biotechnologie-Ingenieur | Biotechnologin | Biotechnologe | Biochemikerin,"Biochemiker/Biochemikerinnen untersuchen und erforschen chemische Reaktionen in lebenden Organismen. Dazu gehört die Durchführung von Forschungsarbeiten zur Entwicklung oder Verbesserung chemikalienbasierter Produkte (z. B. Arzneimittel), die auf die Verbesserung der Gesundheit lebender Organismen und auf ein besseres Verständnis ihrer Reaktionen ausgerichtet sind.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,Biologe/Biologin
Occupation,http://data.europa.eu/esco/occupation/6e92d4b5-3167-4166-802f-da7753951a31,IT-Forschungsberater/IT-Forschungsberaterin,released,IT-Forschungsconsultant | IT-Forschungsberaterin | IT-Forschungsberater,"IKT-Forschungsberater führen gezielte IKT-Forschungsarbeiten durch und legen dem Kunden einen Abschlussbericht vor. Außerdem setzen sie IKT-Instrumente ein, um Fragebögen für Umfragen zu entwerfen, die Ergebnisse auszuwerfen, Berichte zu verfassen, die Ergebnisse vorzustellen und auf der Grundlage der Forschungsergebnisse Empfehlungen zu formulieren.",http://data.europa.eu/esco/isco/C2511,Systemanalytiker
Occupation,http://data.europa.eu/esco/occupation/71f09c8b-a172-408c-b9e7-32e580e39ff6,Arzt für Allgemeinmedizin/Ärztin für Allgemeinmedizin,released,Ärztin für Allgemeinmedizin | Arzt für Allgemeinmedizin,"Ärzte für Allgemeinmedizin/Ärztinnen für Allgemeinmedizin fördern die Gesundheit, beugen gesundheitlichen Beschwerden vor, identifizieren gesundheitliche Beschwerden, diagnostizieren und behandeln Erkrankungen und fördern die Genesung körperlicher und psychischer Krankheiten und Störungen aller Art, unabhängig vom Alter, dem Geschlecht oder den Beschwerden der Betroffenen.",http://data.europa.eu/esco/isco/C2211,Allgemeinärzte
Occupation,http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2,Mathematiker/Mathematikerin,released,Mathematiker | Mathematikerin,"Mathematiker/Mathematikerinnen studieren und vertiefen mathematische Theorien, um das Wissen auf dem Gebiet zu erweitern und neue Paradigmen zu finden. Sie können diese Kenntnisse auf Probleme anwenden, die sich aus technischen und wissenschaftlichen Projekten ergeben, um sicherzustellen, dass sich Messungen, Mengen und mathematische Gesetze als tragfähig erweisen.",http://data.europa.eu/esco/isco/C2120,"Mathematiker, Versicherungsmathematiker und Statistiker"
Occupation,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,Forschungs- und Entwicklungsleiter/Forschungs- und Entwicklungsleiterin,released,Forschungs- und Entwicklungsleiterin | Forschungs- und Entwicklungsleiter,"Forschungs- und Entwicklungsleiter/Forschungs- und Entwicklungsleiterinnen koordinieren die Produktenwicklungs- und -verbesserungstätigkeiten von Wissenschaftlern/Wissenschaftlerinnen, Hochschulforschern/-forscherinnen, Produktentwicklern/-entwicklerinnen und Marktforschern/-forscherinnen oder andere Forschungstätigkeiten, einschließlich der wissenschaftlichen Forschung. Sie verwalten und planen die Forschungs- und Entwicklungstätigkeiten einer Einrichtung, geben Ziele und Haushaltsmittel an und verwalten die Mitarbeiter.",http://data.europa.eu/esco/isco/C1223,Führungskräfte in Forschung und Entwicklung
Occupation,http://data.europa.eu/esco/occupation/778c1d37-69f2-4184-ac98-03b7dbfba332,Ingenieur Photonik/Ingenieurin Photonik,released,Ingenieurin Photonik | Ingenieur Photonik,"Ingenieure Photonik/Ingenieurinnen Photonik befassen sich mit der Erzeugung, Übertragung, Transformation und Erkennung von Licht. Sie betreiben Forschung, entwerfen, montieren, testen und verwenden fotonische Bauteile oder Systemen in verschiedenen Anwendungsbereichen, von der optischen Kommunikation über medizinische Geräte und Materialverarbeitung bis hin zu Sensortechnik.",http://data.europa.eu/esco/occupation/ab3c4d3e-3189-47ad-82af-57cdae3cb589,Optikingenieur/Optikingenieurin
Occupation,http://data.europa.eu/esco/occupation/77abfaec-a250-4765-95fa-6091e8da1bba,Ingenieur Elektromechanik/Ingenieurin Elektromechanik,released,Ingenieur Elektromechanik | Ingenieurin Elektromechanik,"Ingenieure Elektromechanik/Ingenieurinnen Elektromechanik gestalten und entwickeln Geräte und Maschinen, die sowohl elektrische als auch mechanische Technologien nutzen. Sie machen Entwürfe und erstellen Dokumente, in denen die Materialanforderungen, das Montageverfahren und andere technische Spezifikationen aufgeführt sind. Ingenieure/Ingenieurinnen Elektromechanik testen und bewerten zudem die Prototypen. Sie beaufsichtigen den Herstellungsprozess.",http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,Ingenieur Elektrotechnik/Ingenieurin Elektrotechnik
Occupation,http://data.europa.eu/esco/occupation/7c132147-428b-4ea3-87e1-70f7abb691ce,Apotheker/Apothekerin,released,Pharmazeut | Apotheker | Pharmazeutin | Apothekerin,"Apotheker/Apothekerinnen bereiten Arzneimittel zu, geben Arzneimittel ab und verkaufen frei erhältliche Arzneimittel. Sie bieten klinische Informationen über Arzneimittel, berichten über vermutete Nebenwirkungen und bieten Patientinnen/Patienten personalisierte Unterstützung. Apotheker/Apothekerinnen formulieren und testen Arzneimittel in Laboren, lagern sie, konservieren sie und geben sie ab.",http://data.europa.eu/esco/isco/C2262,Apotheker
Occupation,http://data.europa.eu/esco/occupation/7dea476a-dffe-4919-9ee2-fb222e283f41,Hochschullehrkraft für Psychologie,released,Ordinaria für Arbeitspsychologie | Wissenschaftliche Mitarbeiterin für experimentelle Psychologie | Wissenschaftlicher Mitarbeiter für experimentelle Psychologie | Professorin für Psychologie | Hochschuldozent/in für Psychologie | UniversitätsassistentIn für Psychologie | Ordinarius für Arbeitspsychologie | Professor für Psychologie,"Hochschullehrkräfte für Psychologie sind Professoren/Professorinnen, Lehrkräfte oder Dozenten/Dozentinnen, die Studierende mit einem Abschluss der Sekundarstufe II in ihrem eigenen Fachgebiet, der Psychologie, unterrichten. Sie arbeiten mit ihren Forschungsassistenten/Forschungsassistentinnen und wissenschaftlichen Hilfskräften zusammen, um Lehrveranstaltungen und Prüfungen vorzubereiten, studentische Arbeiten und Prüfungen zu benoten und Evaluierungsgespräche mit Studierenden zu führen. Zudem führen sie in ihrem jeweiligen Psychologie-Fachgebiet Forschungsarbeiten durch, veröffentlichen die gewonnenen Ergebnisse und tauschen sich mit Fachkollegen/-kolleginnen aus.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,Hochschullehrkraft
Occupation,http://data.europa.eu/esco/occupation/7f0fe7d3-54c6-41e9-88ba-9d4f0f1a46b4,Ingenieur Mikrosystemtechnik/Ingenieurin Mikrosystemtechnik,released,Ingenieurin Mikrosystemtechnik | Ingenieur Mikrosystemtechnik,"Ingenieure Mikrosystemtechnik/Ingenieurinnen Mikrosystemtechnik erforschen, gestalten, entwickeln und beaufsichtigen die Herstellung von mikroelektronischen mechanischen Systemen (MEMS), die in mechanischen, optischen, akustischen und elektronischen Produkten verwendet werden können.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,Ingenieur Elektronik/Ingenieurin Elektronik
